Total Records,,Delay Rate,,,,,,,,,,
25713,,35.37%,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total Delays,,,,,,,,--- 1. LINE PERFORMANCE ---,,,,
9094,,,,,,,,Line,Total Incidents,Delayed Incidents,Delay Rate (%),Avg Delay (Min)
DUPONT STATION,183,3,,,,,,,,,,
NORTH YORK CTR STATION,182,3,,,,,,,,,,
LANSDOWNE STATION,182,3,,,,,,,,,,
RUNNYMEDE STATION,176,2,,,,,,,,,,
SUMMERHILL STATION,166,4,,,,,,,,,,
FINCH WEST STATION,163,3,,,,,,,,,,
BAYVIEW STATION,162,1,,,,,,,,,,
MUSEUM STATION,159,4,,,,,,,,,,
DOWNSVIEW PARK STATION,153,3,,,,,,,,,,
LESLIE STATION,134,3,,,,,,,,,,
PIONEER VILLAGE STATIO,129,2,,,,,,,,,,
HIGHWAY 407 STATION,129,2,,,,,,,,,,
GREENWOOD YARD,123,1,,,,,,,,,,
GLENCAIRN STATION,122,3,,,,,,,,,,
YORK UNIVERSITY STATIO,115,2,,,,,,,,,,
BESSARION STATION,91,2,,,,,,,,,,
VAUGHAN MC STATION,80,2,,,,,,,,,,
TORONTO TRANSIT COMMIS,52,0,,,,,,,,,,
TMU STATION,49,1,,,,,,,,,,
DAVISVILLE YARD,44,0,,,,,,,,,,
KENNEDY STATION,40,1,,,,,,,,,,
LINE 1 YONGE UNIVERSIT,35,0,,,,,,,,,,
YONGE UNIVERSITY LINE,34,0,,,,,,,,,,
SPADINA STATION,30,0,,,,,,,,,,
LINE 1 - YONGE UNIVERS,26,0,,,,,,,,,,
NORTH YORK CENTRE STAT,21,2,,,,,,,,,,
WILSON YARD,20,1,,,,,,,,,,
CEDARVALE YU STATION,19,4,,,,,,,,,,
LINE 2 BLOOR DANFORTH,18,0,,,,,,,,,,
LINE 1 - YONGE-UNIVERS,18,0,,,,,,,,,,
ST. GEORGE STATION,16,0,,,,,,,,,,
GREENWOOD CARHOUSE,15,0,,,,,,,,,,
BLOOR DANFORTH SUBWAY,13,0,,,,,,,,,,
SCARBOROUGH CTR STATIO,11,0,,,,,,,,,,
KEELE YARD,11,2,,,,,,,,,,
GREENWOOD WYE,11,1,,,,,,,,,,
LINE 1- YONGE UNIVERSI,10,0,,,,,,,,,,
ST. CLAIR WEST STATION,9,0,,,,,,,,,,
ST. CLAIR STATION,9,0,,,,,,,,,,
WILSON CARHOUSE,8,0,,,,,,,,,,
LINE 2 - BLOOR-DANFORT,8,0,,,,,,,,,,
YONGE UNIVERSITY AND B,7,0,,,,,,,,,,
YONGE STATION,7,0,,,,,,,,,,
UNION STATION TO KING,7,4,,,,,,,,,,
ST. ANDREW STATION,7,0,,,,,,,,,,
ST GEORGE STATION,7,0,,,,,,,,,,
JANE TO OSSINGTON,7,0,,,,,,,,,,
FINCH STATION PLATFORM,7,3,,,,,,,,,,
DAVISVILLE CARHOUSE,7,0,,,,,,,,,,
LINE 2- BLOOR DANFORTH,6,0,,,,,,,,,,
LINE 2 BLOOR-DANFORTH,6,0,,,,,,,,,,
DAVISVILLE BUILD-UP,6,2,,,,,,,,,,
VICTORIA PARK TO WARDE,5,1,,,,,,,,,,
ST. PATRICK STATION,5,2,,,,,,,,,,
OSSINGTON CENTRE TRACK,5,1,,,,,,,,,,
LEASIDE STATION,5,0,,,,,,,,,,
BLOOR DANFORTH LINE,5,0,,,,,,,,,,
YONGE/UNIVERSITY AND B,4,0,,,,,,,,,,
YONGE-UNIVERSITY-SPADI,4,0,,,,,,,,,,
YONGE -UNIVERSITY AND,4,0,,,,,,,,,,
YONGE - UNIVERSITY AND,4,0,,,,,,,,,,
ST CLAIR WEST TO ST AN,4,0,,,,,,,,,,
SOUTH HOSTLER,4,5,,,,,,,,,,
MCBRIEN BUILDING,4,0,,,,,,,,,,
LINE 1 YONGE-UNIVERSIT,4,0,,,,,,,,,,
LINE 1 YONGE- UNIVERSI,4,0,,,,,,,,,,
BLOOR-DANFORTH LINE,4,0,,,,,,,,,,
BLOOR DANFORTH LINE 2,4,0,,,,,,,,,,
YONGE UNIVERSITY SPADI,3,0,,,,,,,,,,
YONGE AND BLOOR,3,0,,,,,,,,,,
WARDEN STATION (ENTERI,3,16,,,,,,,,,,
VMC STATION (PLATFORM,3,2,,,,,,,,,,
VICTORIA PARK TO KENNE,3,4,,,,,,,,,,
TEDDINGTON EE,3,0,,,,,,,,,,
ST ANDREW TO ST GEORGE,3,0,,,,,,,,,,
MACDONALD CARTIER EE,3,0,,,,,,,,,,
KING STATION (COMMERCE,3,0,,,,,,,,,,
KING COMMERCE COURT,3,0,,,,,,,,,,
GREENWOOD PORTAL,3,0,,,,,,,,,,
YORK MILLS STATION (AP,2,8,,,,,,,,,,
YONGE UNIVERSITY - BLO,2,0,,,,,,,,,,
YONGE BD TO PAPE STATI,2,10,,,,,,,,,,
WILSON TRACK AND STRUC,2,0,,,,,,,,,,
WILSON HOSTLER,2,0,,,,,,,,,,
WILSON DIVISION,2,0,,,,,,,,,,
WILSON CAR HOUSE,2,0,,,,,,,,,,
WARDEN STATION (DEPART,2,4,,,,,,,,,,
WARDEN STATION (APPROA,2,0,,,,,,,,,,
UNION TO ST ANDREW STA,2,4,,,,,,,,,,
UNION STATION TO ST AN,2,4,,,,,,,,,,
UNION STATION (TOWARDS,2,7,,,,,,,,,,
UNION STATION (TO KING,2,2,,,,,,,,,,
UNION STATION - TO KIN,2,4,,,,,,,,,,
UNION STATION - ST AND,2,3,,,,,,,,,,
SYSTEMWIDE,2,0,,,,,,,,,,
SYSTEM WIDE,2,0,,,,,,,,,,
SUBWAY CLOSURE: KIPLIN,2,0,,,,,,,,,,
ST. GEORGE TO ST. ANDR,2,0,,,,,,,,,,
SHEPPARD STATION TO CO,2,0,,,,,,,,,,
OSSINGTON TO ST GEORGE,2,11,,,,,,,,,,
